Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Non-Japan Asia,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Australia,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Australia,Central Banks / Official Institutions,,,
Nikko AM,Japan,Asset Managers,,,
Nikko AM,Europe,Asset Managers,,,
Nikko AM,Europe,Asset Managers,,,
Nomura AM,Asia,Banks / Corporates,,,
Nomura AM,Japan,Asset Manager,,,
Nomura AM,Japan,Asset Managers,,,
Nomura AM,Japan,Asset Managers,,,
Nomura AM,Asia,Asset Managers,,,
Nomura AM,Europe,Asset Managers,,,
Nomura AM,Asia,Fund Managers,,,
Nomura AM,Japan,Asset Managers,,,
Nomura AM,Japan,Asset Managers,,,
Nomura AM,Japan,Banks / Corporates,,,
Nomura AM,Japan,Banks / Corporates,,,
Nomura AM,Asia,Bank / Corporates,,,
DIAM,Japan,Asset Managers,,,
NORGES BANK INVESTMENT MGMT NORWAY,Europe,Central Banks / Official Institutions,,,
Notenstein,Europe,Banks / Corporates,,,
Omega,Australia,Asset Managers,,,
PERPETUAL FUNDS MANAGEMENT LTD,Domestic,Asset Managers,,,
Pictet & Cie.,Europe,Asset Managers,,,
Pictet & Cie.,Europe & Middle East,Fund Managers,,,
PNG,Asia,Central Banks / Official Institutions,,,
PNG,Asia,Central Banks / Official Institutions,,,
Prudential,Japan,Insurance / Pension,,,
Prudential,Japan,Insurance / Pension,,,
Prudential,Asia,Insurance / Pension,,,
Prudential,Non-Japan Asia,Asset Managers,,,
Prudential,Asia,Insurance / Pension,,,
QTC,Domestic,Central Banks / Official Institutions,,,
QTC,Non-Japan Asia,Central Banks / Official Institutions,,,
Queenland Bankers Equitable (QBE),Australia,Insurance,,,
Rabobank ,Europe,Banks / Corporates,,,
Rahn and Bodmer,Europe,Banks / Corporates,,,
RBC,Australia,Banks / Corporates,,,
RBC,Europe,Banks / Corporates,,,
RBC,Domestic,Banks / Corporates,,,
RBC,Europe,Banks,,,
RBC,Domestic,Banks / Corporates,,,
RBC,Australia,Banks / Corporates,,,
RBC,Australia,Banks / Corporates,,,
RBC,Asia,Banks / Corporates,,,
RBC,Asia,Asset Managers,,,
Riskbank,Europe,Central Banks / Official Institutions,,,
Schroders Investment Management,Australia,Asset Managers,,,
Schroders Investment Management,Domestic,Asset Manager,,,
Schroders Investment Management,Domestic,Asset Managers,,,
Schroders Investment Management,Australia,Asset Managers,,,
Schroders Investment Management,Domestic,Asset Managers,,,
Schroders Investment Management,Europe,Asset Managers,,,
Schroders Investment Management,Domestic,Fund Managers,,,
Schroders Investment Management,Non-Japan Asia,Asset Managers,,,
Schweizerische Nationalbank,Europe,Banks / Corporates,,,
Schweizerische Nationalbank ,Europe,Banks / Corporates,,,
SMBC Nikko ,Japan,Asset Managers,,,
SMBC Nikko ,Japan,Asset Managers,,,
South Australian Country Fire (CFS),Australia,Asset Managers,,,
South Australian Country Fire (CFS),Domestic,Asset Managers,,,
Standard Chartered Bank,Europe,Banks / Corporates,,,
Standard Chartered Bank ,Asia,Banks / Corporates,,,
Standish Mellon AM,Americas,Fund Managers,,,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,,,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,,,
State Street,Americas,Asset Managers,,,
Swatch,Europe,Banks / Corporates,,,
Swiss National Bank,Europe,Central Banks / Official Institutions,,,
Swiss National Bank,Europe,Central Banks / Official Institutions,,,
Swiss National Bank,Europe,Central Banks / Official Institutions,,,
Swiss National Bank,Europe,Central Banks / Official Institutions,,,
Swiss National Bank,Europe,Central Banks / Official Institutions,,,
Swiss Social Security Federation,Europe,Central Banks / Official Institutions,,,
Swiss Social Security Federation,Europe,Central Banks / Official Institutions,,,
Swisscanto Funds Management,Europe,Asset Managers,,,
TD,Australia,Banks / Corporates,,,
TD,Asia,Banks,,,
TD,Europe,Fund Managers,,,
NSWTC,Australia,Central Banks / Official Institutions,,,
TD,Europe,Asset Managers,,,
TD,Europe,Asset Managers,,,
TD,Asia,Bank / Corporates,,,
TD,Domestic,Banks / Corporates,,,
TD,Asia,Banks / Corporates,,,
TD,Asia,Banks / Corporates,,,
TD,Europe,Asset Managers,,,
TD,Asia,Banks / Corporates,,,
TD Treasury,Asia,Bank / Corporates,,,
Negara,Asia,Central Banks / Official Institutions,,,
Nomura AM,Japan,Asset Managers,,,
Treasury Corporation of Victoria,Australia,Central Banks / Official Institutions,,,
Treasury Corporation of Victoria,Australia,Central Banks / Official Institutions,,,
Tyndall,Domestic,Asset Managers,,,
Tyndall,Domestic,Asset Managers,,,
Tyndall,Non-Japan Asia,Asset Managers,,,
Ubank,Middle East & Africa,Banks / Corporates,,,
Bank of England,Europe,Central Banks / Official Institutions,,,
Bank of Montreal,Americas,Banks / Corporates,,,
BORDIER & CIE,Europe,Banks / Corporates,,,
Canada Mortgage and Housing Corporation (CMHC),Americas,Central Banks / Official Institutions,,,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,,,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Thailand (Bank of Thailand),Asia,Central Banks / Official Institutions,,,
Chubb Investments,Europe,Fund Managers,,,
CIBC Treasury,Americas,Banks / Corporates,,,
Central Bank of Czech Republic,Europe,Central Banks / Official Institutions,,,
Daiwa AM,Asia,Fund Managers,,,
Dexia Banque Internationale a Luxembourg SA,Europe,Banks / Corporates,,,
HSBC Treasury,Asia,Banks / Corporates,,,
Korean Investment Corporation (KIC),Asia,Central Banks / Official Institutions,,,
National Bank Financial,Americas,Banks / Corporates,,,
Picete AM,Europe,Fund Managers,,,
South Africa Reserve Bank,Middle East & Africa,Central Banks / Official Institutions,,,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,,,
Swiss Canto AM,Europe,Fund Managers,,,
TD Treasury,Americas,Banks / Corporates,,,
Travelers,Americas,Banks / Corporates,,,
UBS Asset Management,Europe,Fund Managers,,,
Wing Hang Bank,Asia,Banks / Corporates,,,
TD Account X2 -ZKB,Europe,Banks / Corporates,,,
Amundi,Europe,Asset Managers / Pension / Insurance ,,,
Bank of England,Europe,Central Banks / Official Institutions,,,
Bank of Nova Scotia (Toronto),Canada,Banks / Bank Treasuries / Corporates ,,,
Blackrock,Americas,Asset Managers / Pension / Insurance ,,,
Canada Mortgage and Housing Corporation (CMHC),Canada,Central Banks / Official Institutions,,,
Canadian National Railway,Canada,Asset Managers / Pension / Insurance ,,,
Central Bank of China ,Asia,Central Banks / Official Institutions,,,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Latvia,Europe,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Ceska Narodni Banka,Europe,Central Banks / Official Institutions,,,
Chubb Investment Services Ltd. S,Europe,Asset Managers / Pension / Insurance ,,,
"CIBC Asset Management, Inc.",Canada,Asset Managers / Pension / Insurance ,,,
CIC,Europe,Banks / Bank Treasuries / Corporates ,,,
City of Edmonton,Canada,Central Banks / Official Institutions,,,
Daiwa AM,Asia,Asset Managers / Pension / Insurance ,,,
Deutsche Asset Management Americas (DWS Investments),Europe,Asset Managers / Pension / Insurance ,,,
Dinosaur Securities ,Europe,Asset Managers / Pension / Insurance ,,,
Element Capital Management LLC,Americas,Asset Managers / Pension / Insurance ,,,
General Motors Investment Management Corporation,Americas,Banks / Bank Treasuries / Corporates ,,,
HSBC ,Americas,Banks / Bank Treasuries / Corporates ,,,
HSBC Treasury,Europe,Banks / Bank Treasuries / Corporates ,,,
Invesco (Umbrella Entity),Europe,Asset Managers / Pension / Insurance ,,,
Korean Investment Corporation (KIC),Asia,Central Banks / Official Institutions,,,
La Banque Postale Asset Management,Europe,Asset Managers / Pension / Insurance ,,,
Manulife,Canada,Asset Managers / Pension / Insurance ,,,
Meinl Bank AG,Europe,Banks / Bank Treasuries / Corporates ,,,
Mitsubishi UFJ Asset Management,Asia,Asset Managers / Pension / Insurance ,,,
Nikko AM,Asia,Asset Managers / Pension / Insurance ,,,
Riksbank,Europe,Banks / Bank Treasuries / Corporates ,,,
Schroder Investment Management London,Europe,Asset Managers / Pension / Insurance ,,,
Scotia AM,Canada,Asset Managers / Pension / Insurance ,,,
South Africa Reserve Bank,Middle East and Africa ,Central Banks / Official Institutions,,,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,,,
TD Treasury,Canada,Banks / Bank Treasuries / Corporates ,,,
TD Treasury,Canada,Banks / Bank Treasuries / Corporates ,,,
Travelers,Americas,Asset Managers / Pension / Insurance ,,,
Vanguard,Americas,Asset Managers / Pension / Insurance ,,,
Zurcher Kantonalbank,Europe,Banks / Bank Treasuries / Corporates ,,,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,,,
Central Bank of Norway (Norges Bank),Other,Central Banks / Official Institutions,,,
Chubb Insurance,Americas,Insurance / Pension,,,
Nikko AM,Japan,Asset Managers,,,
RBC,Canada,Banks / Corporates,,,
RBC,Canada,Banks / Corporates,,,
Royal Bank of Canada Caribbean,Americas,Banks / Corporates,,,
Saudi Arabian Monetary Agency (SAMA),Asia,Central Banks / Official Institutions,,,
Travelers,Americas,Banks / Corporates,,,
African Development Bank,Middle East & Africa,Central Banks / Official Institutions,,,
#REF!,Middle East & Africa,Pension,,,
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,,,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,,,
Central Bank of China,Asia,Central Banks / Official Institutions,,,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Israel (Bank of Israel),Middle East & Africa,Central Banks / Official Institutions,,,
City of Burlington,Canada,Central Banks / Official Institutions,,,
Credit Suisse Asset Mgmt.,Middle East & Africa,Asset Managers,,,
Credit Suisse Private Bank,Middle East & Africa,Banks / Corporates,,,
Deutsche Bank ,Middle East & Africa,Banks / Corporates,,,
Goldman Sachs,Middle East & Africa,Banks / Corporates,,,
Handover (Opus),Canada,Asset Managers,,,
Pacific Investment Management Company (PIMCO),Americas,Asset Managers,,,
RBC,Canada,Banks / Corporates,,,
Royal Bank of Canada Caribbean,Americas,Banks / Corporates,,,
Talanx Asset Management ,Middle East & Africa,Asset Managers,,,
Threadneedle Asset Management Ltd.,Middle East & Africa,Asset Managers,,,
Travelers,Americas,Banks / Corporates,,,
Western Asset Management Company (WAMCO),Americas,Asset Managers,,,
AGF,Canada,Asset Managers/Insurance/Pension Funds,,,
Amundi UK (aka CAAM),Europe,Asset Managers/Insurance/Pension Funds,,,
AP2,Europe,Asset Managers/Insurance/Pension Funds,,,
Central Bank of Indonesia (Bank of Indonesia),Asia (ex. Japan),Central Banks / Official Institutions,,,
Bank Negara Malaysia,Asia (ex. Japan),Central Banks / Official Institutions,,,
Bank of Montreal,Americas,Banks / Corporates,,,
Blackrock Inc,Americas,Asset Managers/Insurance/Pension Funds,,,
BoAML Trading,Americas,Banks / Corporates,,,
Bordier & Cie Banquiers Prives,Europe,Banks / Corporates,,,
CIBC Global Asset Management Inc.,Canada,Asset Managers/Insurance/Pension Funds,,,
CN Pension Fund,Canada,Central Banks / Official Institutions,,,
Credit Industriel Et Commercial CIC,Europe,Banks / Corporates,,,
Deutsche AWM (PWM),Europe,Asset Managers/Insurance/Pension Funds,,,
City of Edmonton,Canada,Central Banks / Official Institutions,,,
Heng Seng Bank,Asia (ex. Japan),Banks / Corporates,,,
HSBC Trading,Europe,Banks / Corporates,,,
Korean Investment Corporation (KIC),Asia (ex. Japan),Central Banks / Official Institutions,,,
Liechtensteinische Landesbank,Europe,Banks / Corporates,,,
Manulife Mutual Funds,Canada,Asset Managers/Insurance/Pension Funds,,,
Manulife Mutual Funds,Canada,Asset Managers/Insurance/Pension Funds,,,
"Royal Bank of Canada Insurance Company, Barbados",Canada,Asset Managers/Insurance/Pension Funds,,,
TD Toronto,Canada,Banks / Corporates,,,
TD Trading,Canada,Banks / Corporates,,,
VANGUARD GROUP INC,Europe,Asset Managers/Insurance/Pension Funds,,,
Workers' Compensation Board Of Alberta,Canada,Central Banks / Official Institutions,,,
Banca della Svizzera (BSI),Europe & Middle East,Asset Managers,,,
